Frame,Current_Customers,Total_Entered,Total_Exited
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,0,0
6,6,0,0
7,6,0,0
8,6,0,0
9,5,0,0
10,5,0,0
11,5,0,0
12,4,0,0
13,5,0,0
14,6,0,0
15,6,0,0
16,6,0,0
17,6,0,0
18,6,0,0
19,6,0,0
20,6,0,0
21,6,0,0
22,6,0,0
23,6,0,0
24,6,0,0
25,7,0,0
26,6,0,0
27,6,0,0
28,6,0,0
29,6,0,0
30,7,0,0
31,7,0,0
32,7,1,0
33,5,1,0
34,6,1,1
35,6,1,1
36,6,1,1
37,6,1,1
38,6,1,1
39,6,1,1
40,5,1,1
41,6,1,1
42,5,1,1
43,5,1,1
44,5,1,1
45,5,1,1
46,5,1,1
47,5,1,1
48,5,1,1
49,4,1,1
50,4,1,1
51,4,1,1
52,5,1,1
53,5,1,1
54,4,1,1
55,4,1,1
56,5,1,1
57,6,1,1
58,6,1,1
59,6,1,1
60,6,1,1
61,6,1,1
62,5,1,1
63,5,2,1
64,5,2,1
65,5,2,1
66,5,2,1
67,5,2,1
68,5,2,1
69,5,2,1
70,5,2,1
71,5,2,1
72,6,2,1
73,6,2,1
74,6,2,1
75,6,2,1
76,6,2,1
77,6,2,1
78,6,2,1
79,6,2,1
80,6,2,1
81,6,2,1
82,6,2,1
83,6,2,1
84,6,2,1
85,6,2,1
86,6,2,1
87,6,2,1
88,6,2,1
89,6,2,1
90,6,2,1
91,6,2,1
92,6,2,1
93,6,2,1
94,6,2,1
95,6,2,1
96,6,2,1
97,6,2,1
98,6,2,1
99,5,2,1
100,5,2,1
101,5,2,1
102,5,2,1
103,5,2,1
104,4,2,1
105,4,2,1
106,4,2,1
107,4,2,1
108,4,2,1
109,5,2,1
110,5,2,1
111,5,2,1
112,5,2,1
113,5,2,1
114,5,2,1
115,6,2,1
116,6,2,1
117,6,2,1
118,5,2,1
119,5,2,1
120,5,2,1
121,6,2,1
122,5,2,1
123,6,2,1
124,5,2,1
125,5,2,1
126,5,2,1
127,5,2,1
128,6,2,1
129,6,2,1
130,5,2,1
131,5,2,1
132,4,2,1
133,4,2,1
134,4,2,1
135,4,2,1
136,5,2,1
137,5,2,1
138,5,2,1
139,5,2,1
140,5,2,1
141,5,2,1
142,5,2,1
143,5,2,1
144,5,2,1
145,5,2,1
146,5,2,1
147,5,2,1
148,5,2,1
149,5,2,1
150,5,2,1
151,5,2,1
152,5,2,1
153,5,2,1
154,5,2,1
155,5,2,1
156,5,2,1
157,5,2,1
158,5,2,1
159,5,2,1
160,5,2,1
161,5,2,1
162,5,2,1
163,5,2,1
164,5,2,1
165,5,2,1
166,5,2,1
167,5,2,1
168,5,2,1
169,5,2,1
170,6,2,1
171,6,2,1
172,6,2,1
173,6,2,1
174,6,2,1
175,6,2,1
176,6,2,1
177,6,2,1
178,6,2,1
179,6,2,1
180,6,2,1
181,5,2,1
182,5,2,1
183,5,2,1
184,5,2,1
185,5,2,1
186,5,2,1
187,5,2,1
188,5,2,1
189,5,2,1
190,5,2,1
191,5,2,1
192,5,2,1
193,5,2,1
194,5,2,1
195,5,2,1
196,5,2,1
197,5,2,1
198,5,2,1
199,5,2,1
200,5,2,1
201,5,2,1
202,6,2,1
203,6,2,1
204,7,2,1
205,7,2,1
206,7,2,1
207,7,2,1
208,7,2,1
209,7,2,1
