Frame,Zone_1_Left,Zone_2_Center,Zone_3_Right
1,1,1,3
2,1,1,3
3,1,1,2
4,1,1,2
5,2,1,2
6,2,1,2
7,2,1,2
8,2,1,2
9,2,1,2
10,2,2,2
11,2,2,2
12,2,2,3
13,2,2,3
14,2,2,3
15,2,2,2
16,2,3,2
17,2,3,2
18,2,2,2
19,2,3,2
20,2,3,2
21,2,3,2
22,2,2,2
23,2,3,2
24,2,3,2
25,2,2,2
26,2,3,2
27,2,2,2
28,2,2,2
29,2,3,2
30,2,3,2
31,2,2,2
32,2,2,2
33,1,2,2
34,1,2,2
35,1,2,2
36,1,3,2
37,1,3,2
38,1,2,2
39,1,2,2
40,1,3,2
41,1,3,2
42,1,2,2
43,1,3,2
44,0,3,2
45,0,3,2
46,0,3,2
47,0,3,2
48,0,2,2
49,0,2,2
50,0,2,2
51,1,2,2
52,1,2,2
53,1,2,2
54,1,1,2
55,1,1,2
56,1,1,2
57,1,2,2
58,1,2,2
59,1,2,2
60,1,2,2
61,1,2,2
62,1,1,2
63,1,1,2
64,1,1,2
65,1,1,2
66,1,2,2
67,1,2,2
68,1,2,2
69,1,2,2
70,1,2,2
71,1,2,2
72,1,2,2
73,1,2,2
74,1,2,2
75,1,3,2
76,1,3,2
77,1,3,2
78,1,3,2
79,1,3,2
80,1,3,2
81,1,3,2
82,1,3,2
83,1,3,2
84,1,3,2
85,1,3,2
86,1,3,2
87,1,3,2
88,1,3,2
89,1,3,2
90,1,3,2
91,1,3,2
92,1,3,2
93,1,3,2
94,1,3,2
95,1,2,3
96,1,2,3
97,1,2,3
98,1,2,3
99,1,2,3
100,1,2,3
101,1,2,3
102,1,2,3
103,1,2,3
104,1,2,3
105,1,2,2
106,1,2,2
107,1,2,2
108,1,2,2
109,1,2,2
110,1,2,2
111,1,2,2
112,1,2,2
113,1,2,2
114,1,2,2
115,1,2,2
116,1,2,2
117,1,2,2
118,1,2,2
119,1,2,1
120,1,2,2
121,1,2,2
122,1,2,2
123,1,2,2
124,1,2,1
125,1,2,1
126,1,2,2
127,1,2,1
128,1,2,2
129,1,2,3
130,1,2,3
131,1,2,3
132,1,2,2
133,1,2,2
134,1,2,2
135,1,2,2
136,1,2,2
137,1,2,2
138,1,2,2
139,1,2,2
140,1,2,2
141,1,2,2
142,1,2,2
143,1,2,2
144,1,2,2
145,1,2,2
146,1,2,2
147,1,2,2
148,1,2,2
149,1,2,2
150,1,2,2
151,1,2,2
152,1,2,2
153,1,2,2
154,1,2,2
155,1,2,2
156,1,2,2
157,1,2,2
158,1,2,2
159,1,2,2
160,1,2,2
161,1,2,2
162,1,2,2
163,1,2,2
164,1,2,2
165,1,2,2
166,1,2,2
167,1,2,2
168,1,2,2
169,1,2,3
170,1,2,3
171,1,2,3
172,1,2,3
173,1,2,3
174,1,2,3
175,1,2,3
176,1,2,3
177,1,2,3
178,1,2,3
179,1,2,3
180,1,2,3
181,1,2,2
182,1,2,2
183,1,2,2
184,1,2,2
185,1,2,2
186,1,2,2
187,1,2,2
188,1,2,2
189,1,2,2
190,1,2,2
191,1,2,2
192,1,2,2
193,1,2,2
194,1,2,2
195,1,2,2
196,1,2,2
197,1,2,2
198,1,2,2
199,1,2,2
200,1,2,2
201,1,2,3
202,1,2,3
203,1,2,3
204,2,2,3
205,2,2,3
206,2,2,3
207,2,2,3
208,2,2,3
209,2,2,3
210,2,2,3
211,1,2,3
212,1,2,3
213,1,2,3
214,1,2,3
215,1,2,2
216,1,2,2
217,1,2,2
218,1,2,2
219,1,2,2
220,1,2,2
221,1,2,2
222,1,2,2
223,1,2,2
224,1,2,2
225,1,2,2
226,1,2,2
227,1,2,2
228,1,2,2
229,1,2,2
230,1,2,2
231,1,2,2
232,1,2,2
233,1,2,2
234,1,2,2
235,1,2,2
236,1,2,2
237,1,2,2
238,1,2,2
239,1,2,2
240,1,2,2
241,1,2,2
242,1,2,2
243,1,2,2
244,1,2,2
245,1,2,2
246,1,2,2
247,1,2,2
248,1,2,2
249,1,2,2
250,1,2,2
251,1,2,2
252,1,2,2
253,1,2,2
254,1,2,2
255,1,2,2
256,1,2,2
257,1,2,2
258,1,2,2
259,1,2,2
260,1,2,2
261,1,2,2
262,1,2,2
263,1,2,2
264,1,2,2
265,1,2,2
266,1,2,2
267,1,2,2
268,1,2,2
269,1,2,2
270,1,2,2
271,1,2,2
272,1,2,2
273,1,2,2
274,1,2,2
275,1,2,2
276,1,2,2
277,1,2,2
278,1,2,2
279,1,2,2
280,1,2,2
281,1,2,2
282,1,2,2
283,1,2,2
284,1,2,2
285,1,2,2
286,1,2,2
287,1,2,2
288,1,2,2
289,1,2,2
290,1,2,2
291,1,2,2
292,1,2,2
293,1,2,2
294,1,2,2
295,1,2,2
296,1,2,2
297,1,2,2
298,1,2,2
299,1,2,2
300,1,2,2
301,1,2,2
302,1,2,2
303,1,2,2
304,1,2,2
305,1,2,2
306,1,2,2
307,1,2,2
308,1,2,2
309,1,2,2
310,1,2,2
311,1,2,2
312,1,2,2
313,1,2,2
314,1,2,2
315,1,2,2
316,1,2,2
317,1,2,2
318,1,2,2
319,1,2,2
320,1,2,2
321,1,2,2
322,1,2,2
323,1,2,2
324,1,2,2
325,1,2,2
326,1,3,2
327,1,3,2
328,1,3,2
329,1,3,2
330,1,3,2
331,1,3,2
332,1,3,2
333,1,3,2
334,1,3,2
335,1,3,2
336,1,3,2
337,1,3,2
338,1,3,2
339,1,3,2
340,1,3,2
341,1,3,2
342,1,3,2
343,1,3,2
344,1,3,2
345,1,3,2
346,1,3,2
347,1,3,2
348,1,3,2
349,1,3,2
350,1,3,2
351,1,3,2
352,1,3,2
353,1,3,2
354,1,3,2
355,1,3,2
356,1,3,2
357,1,3,3
358,1,3,3
359,1,3,3
360,1,3,3
361,1,3,3
362,1,3,3
363,1,3,3
364,1,3,3
365,1,3,3
366,1,2,3
367,0,3,3
368,1,2,3
369,1,2,3
370,0,3,3
371,2,2,3
372,2,2,3
373,2,2,3
374,2,2,3
375,2,2,3
376,1,3,3
377,2,2,3
378,1,3,3
379,2,2,3
380,1,3,3
381,1,3,3
382,1,3,3
383,1,3,3
384,1,3,3
385,1,3,3
386,1,3,3
387,1,3,3
388,1,3,3
389,1,3,3
390,2,2,3
391,2,2,3
392,1,3,3
393,1,3,3
394,1,3,2
395,1,3,2
396,1,3,2
397,1,3,2
398,1,3,2
399,1,3,2
400,1,3,2
401,1,3,2
402,1,3,2
403,1,3,2
404,1,3,3
405,1,3,3
406,1,3,3
407,1,3,2
408,1,3,2
